month,symbol
2018-09,AAOI
2018-09,AAON
2018-09,AAT
2018-09,AAWW
2018-09,AAXN
2018-09,ABCB
2018-09,ABG
2018-09,ABM
2018-09,ACET
2018-09,ACLS
2018-09,ACOR
2018-09,ADC
2018-09,ADTN
2018-09,AEGN
2018-09,AEIS
2018-09,AEL
2018-09,AGYS
2018-09,AHH
2018-09,AIN
2018-09,AIR
2018-09,AIT
2018-09,AJRD
2018-09,AKR
2018-09,AKS
2018-09,ALG
2018-09,ALGT
2018-09,ALRM
2018-09,AMAG
2018-09,AMBC
2018-09,AMED
2018-09,AMN
2018-09,AMPH
2018-09,AMSF
2018-09,AMWD
2018-09,ANDE
2018-09,ANF
2018-09,ANGO
2018-09,ANIK
2018-09,ANIP
2018-09,APEI
2018-09,APOG
2018-09,ARCB
2018-09,ARI
2018-09,AROC
2018-09,ARR
2018-09,ASGN
2018-09,ASIX
2018-09,ASNA
2018-09,ASRT
2018-09,ASTE
2018-09,ATNI
2018-09,ATU
2018-09,AVA
2018-09,AVAV
2018-09,AVD
2018-09,AVNS
2018-09,AVP
2018-09,AWR
2018-09,AXE
2018-09,AXL
2018-09,AZZ
2018-09,B
2018-09,BABY
2018-09,BANC
2018-09,BANR
2018-09,BCC
2018-09,BCEI
2018-09,BCOR
2018-09,BCPC
2018-09,BEAT
2018-09,BEL
2018-09,BELFB
2018-09,BFS
2018-09,BGFV
2018-09,BGG
2018-09,BGS
2018-09,BHE
2018-09,BHLB
2018-09,BJRI
2018-09,BKE
2018-09,BKS
2018-09,BLD
2018-09,BMI
2018-09,BNED
2018-09,BOFI
2018-09,BPFH
2018-09,BRC
2018-09,BRKL
2018-09,BRKS
2018-09,BRS
2018-09,CACI
2018-09,CAL
2018-09,CALM
2018-09,CAMP
2018-09,CASH
2018-09,CATM
2018-09,CATO
2018-09,CBB
2018-09,CBL
2018-09,CBM
2018-09,CBU
2018-09,CCMP
2018-09,CCOI
2018-09,CCRN
2018-09,CDR
2018-09,CECO
2018-09,CEIX
2018-09,CENT
2018-09,CENTA
2018-09,CENX
2018-09,CEVA
2018-09,CHCO
2018-09,CHCT
2018-09,CHS
2018-09,CHSP
2018-09,CHUY
2018-09,CIR
2018-09,CJ
2018-09,CKH
2018-09,CLD
2018-09,CLDT
2018-09,CLW
2018-09,CMO
2018-09,CMTL
2018-09,CNMD
2018-09,CNSL
2018-09,COHU
2018-09,COKE
2018-09,COLB
2018-09,CORE
2018-09,CORT
2018-09,CPF
2018-09,CPS
2018-09,CPSI
2018-09,CRAY
2018-09,CROX
2018-09,CRR
2018-09,CRVL
2018-09,CRY
2018-09,CRZO
2018-09,CSGS
2018-09,CTB
2018-09,CTRE
2018-09,CTRL
2018-09,CTS
2018-09,CUB
2018-09,CUBI
2018-09,CUTR
2018-09,CVBF
2018-09,CVCO
2018-09,CVGW
2018-09,CWT
2018-09,CYH
2018-09,CYTK
2018-09,DAKT
2018-09,DAR
2018-09,DBD
2018-09,DCOM
2018-09,DDD
2018-09,DEA
2018-09,DF
2018-09,DFIN
2018-09,DGII
2018-09,DIN
2018-09,DIOD
2018-09,DNR
2018-09,DORM
2018-09,DPLO
2018-09,DRH
2018-09,DSPG
2018-09,DSW
2018-09,DXPE
2018-09,EBIX
2018-09,EBS
2018-09,ECHO
2018-09,ECOL
2018-09,ECPG
2018-09,EE
2018-09,EFII
2018-09,EGHT
2018-09,EGL
2018-09,EGOV
2018-09,EGP
2018-09,EGRX
2018-09,EHTH
2018-09,EIG
2018-09,ELY
2018-09,ENDP
2018-09,ENSG
2018-09,ENTA
2018-09,ENVA
2018-09,EPAY
2018-09,ERA
2018-09,ESE
2018-09,ESIO
2018-09,ESND
2018-09,ETH
2018-09,EVTC
2018-09,EXLS
2018-09,EXPO
2018-09,EXPR
2018-09,EXTN
2018-09,EXTR
2018-09,EZPW
2018-09,FARO
2018-09,FBP
2018-09,FCF
2018-09,FCFS
2018-09,FCN
2018-09,FCPT
2018-09,FELE
2018-09,FF
2018-09,FFBC
2018-09,FFIN
2018-09,FIX
2018-09,FLOW
2018-09,FMBI
2018-09,FN
2018-09,FNSR
2018-09,FORM
2018-09,FORR
2018-09,FOSL
2018-09,FOXF
2018-09,FRAN
2018-09,FRGI
2018-09,FSB
2018-09,FSP
2018-09,FSS
2018-09,FTD
2018-09,FTK
2018-09,FTR
2018-09,FUL
2018-09,FWRD
2018-09,GBCI
2018-09,GBX
2018-09,GCI
2018-09,GCO
2018-09,GDOT
2018-09,GEOS
2018-09,GES
2018-09,GFF
2018-09,GHL
2018-09,GIFI
2018-09,GIII
2018-09,GLT
2018-09,GNBC
2018-09,GNL
2018-09,GOV
2018-09,GPI
2018-09,GPRE
2018-09,GTLS
2018-09,GTY
2018-09,GWB
2018-09,HA
2018-09,HAFC
2018-09,HAYN
2018-09,HCI
2018-09,HF
2018-09,HFWA
2018-09,HI
2018-09,HIBB
2018-09,HLIT
2018-09,HLX
2018-09,HMN
2018-09,HMST
2018-09,HMSY
2018-09,HOPE
2018-09,HPR
2018-09,HQY
2018-09,HSC
2018-09,HSII
2018-09,HSKA
2018-09,HSTM
2018-09,HT
2018-09,HTLD
2018-09,HUBG
2018-09,HVT
2018-09,HWC
2018-09,HWKN
2018-09,HZO
2018-09,IBP
2018-09,IIIN
2018-09,IIVI
2018-09,ILG
2018-09,INDB
2018-09,INGN
2018-09,INN
2018-09,INTL
2018-09,INVA
2018-09,IOSP
2018-09,IPAR
2018-09,IPHS
2018-09,IRBT
2018-09,IRDM
2018-09,IRT
2018-09,ITG
2018-09,ITGR
2018-09,ITRI
2018-09,IVC
2018-09,IVR
2018-09,JBSS
2018-09,JBT
2018-09,JCP
2018-09,JJSF
2018-09,JRVR
2018-09,KALU
2018-09,KAMN
2018-09,KELYA
2018-09,KEM
2018-09,KFY
2018-09,KIRK
2018-09,KLIC
2018-09,KLXI
2018-09,KN
2018-09,KOP
2018-09,KOPN
2018-09,KRA
2018-09,KRG
2018-09,KS
2018-09,KWR
2018-09,LABL
2018-09,LAD
2018-09,LCI
2018-09,LCII
2018-09,LDL
2018-09,LGIH
2018-09,LGND
2018-09,LHCG
2018-09,LION
2018-09,LKSD
2018-09,LL
2018-09,LMAT
2018-09,LMNX
2018-09,LNN
2018-09,LNTH
2018-09,LOCO
2018-09,LPSN
2018-09,LQDT
2018-09,LTC
2018-09,LTXB
2018-09,LXP
2018-09,LXU
2018-09,LZB
2018-09,MANT
2018-09,MATW
2018-09,MATX
2018-09,MCRI
2018-09,MCS
2018-09,MDC
2018-09,MDCO
2018-09,MDXG
2018-09,MED
2018-09,MEI
2018-09,MGLN
2018-09,MGPI
2018-09,MHLD
2018-09,MHO
2018-09,MINI
2018-09,MLI
2018-09,MMSI
2018-09,MNRO
2018-09,MNTA
2018-09,MOG.A
2018-09,MOV
2018-09,MPAA
2018-09,MSTR
2018-09,MTH
2018-09,MTRN
2018-09,MTRX
2018-09,MTSC
2018-09,MXL
2018-09,MYE
2018-09,MYGN
2018-09,MYRG
2018-09,NANO
2018-09,NAVG
2018-09,NBHC
2018-09,NBTB
2018-09,NCI
2018-09,NE
2018-09,NEOG
2018-09,NEWM
2018-09,NFBK
2018-09,NGVT
2018-09,NLS
2018-09,NMIH
2018-09,NP
2018-09,NPK
2018-09,NPO
2018-09,NR
2018-09,NSA
2018-09,NSIT
2018-09,NSP
2018-09,NTGR
2018-09,NTRI
2018-09,NWBI
2018-09,NWN
2018-09,NX
2018-09,NYMT
2018-09,OCLR
2018-09,OFG
2018-09,OFIX
2018-09,OIS
2018-09,OMCL
2018-09,OMI
2018-09,ONB
2018-09,OPB
2018-09,ORIT
2018-09,ORN
2018-09,OSIS
2018-09,OSPN
2018-09,OSUR
2018-09,OXM
2018-09,PAHC
2018-09,PARR
2018-09,PATK
2018-09,PAY
2018-09,PDCE
2018-09,PDFS
2018-09,PEI
2018-09,PENN
2018-09,PERY
2018-09,PES
2018-09,PETS
2018-09,PFBC
