month,symbol
2011-01,AAI
2011-01,AAN
2011-01,AAP
2011-01,ACI
2011-01,ACIW
2011-01,ACM
2011-01,ACV
2011-01,ACXM
2011-01,ADS
2011-01,ADTN
2011-01,ADVS
2011-01,AEO
2011-01,AF
2011-01,AFG
2011-01,AGCO
2011-01,AGL
2011-01,AINV
2011-01,AJG
2011-01,ALB
2011-01,ALEX
2011-01,ALK
2011-01,AM
2011-01,AMB
2011-01,AME
2011-01,AMG
2011-01,ANN
2011-01,ANSS
2011-01,AOL
2011-01,ARE
2011-01,ARO
2011-01,ARW
2011-01,ASBC
2011-01,ASH
2011-01,ASNA
2011-01,ATK
2011-01,ATML
2011-01,ATO
2011-01,ATR
2011-01,ATW
2011-01,AVT
2011-01,AYI
2011-01,BBG
2011-01,BCO
2011-01,BEAV
2011-01,BEC
2011-01,BEZ
2011-01,BID
2011-01,BIO
2011-01,BJ
2011-01,BKH
2011-01,BKS
2011-01,BLUD
2011-01,BOBE
2011-01,BOH
2011-01,BR
2011-01,BRE
2011-01,BRO
2011-01,BUCY
2011-01,BWA
2011-01,BXS
2011-01,BYD
2011-01,BYI
2011-01,CAKE
2011-01,CATY
2011-01,CBB
2011-01,CBSH
2011-01,CBT
2011-01,CDNS
2011-01,CECO
2011-01,CFR
2011-01,CHD
2011-01,CHS
2011-01,CIEN
2011-01,CLGX
2011-01,CLH
2011-01,CLI
2011-01,CMC
2011-01,CMG
2011-01,CMP
2011-01,CNL
2011-01,CNQR
2011-01,CNW
2011-01,CPO
2011-01,CPRT
2011-01,CPT
2011-01,CR
2011-01,CREE
2011-01,CRK
2011-01,CRL
2011-01,CRS
2011-01,CSL
2011-01,CUZ
2011-01,CVD
2011-01,CVG
2011-01,CXW
2011-01,CYH
2011-01,CYN
2011-01,CYT
2011-01,DBD
2011-01,DCI
2011-01,DECK
2011-01,DKS
2011-01,DLTR
2011-01,DLX
2011-01,DPL
2011-01,DRE
2011-01,DRIV
2011-01,DRQ
2011-01,DST
2011-01,DWA
2011-01,DYN
2011-01,EAT
2011-01,EGN
2011-01,EK
2011-01,ENDP
2011-01,ENR
2011-01,EQIX
2011-01,EQY
2011-01,ESI
2011-01,ESS
2011-01,EV
2011-01,EW
2011-01,EWBC
2011-01,EXBD
2011-01,EXH
2011-01,FAF
2011-01,FCN
2011-01,FCS
2011-01,FDS
2011-01,FICO
2011-01,FL
2011-01,FLO
2011-01,FMER
2011-01,FNF
2011-01,FNFG
2011-01,FOSL
2011-01,FRT
2011-01,FST
2011-01,FTO
2011-01,FULT
2011-01,GDI
2011-01,GEF
2011-01,GES
2011-01,GGG
2011-01,GHL
2011-01,GMCR
2011-01,GMT
2011-01,GNTX
2011-01,GPN
2011-01,GPRO
2011-01,GVA
2011-01,GXP
2011-01,HANS
2011-01,HBI
2011-01,HCC
2011-01,HE
2011-01,HHS
2011-01,HIW
2011-01,HLX
2011-01,HMA
2011-01,HNI
2011-01,HNT
2011-01,HOLX
2011-01,HPT
2011-01,HRC
2011-01,HSC
2011-01,HSIC
2011-01,HUBB
2011-01,IBOC
2011-01,IDA
2011-01,IDTI
2011-01,IDXX
2011-01,IEX
2011-01,IM
2011-01,INFA
2011-01,IPI
2011-01,IRF
2011-01,ISCA
2011-01,ISIL
2011-01,IT
2011-01,ITRI
2011-01,JBHT
2011-01,JBLU
2011-01,JCG
2011-01,JEF
2011-01,JKHY
2011-01,JLL
2011-01,JOYG
2011-01,JWA
2011-01,KBH
2011-01,KBR
2011-01,KCI
2011-01,KEX
2011-01,KFY
2011-01,KMT
2011-01,KND
2011-01,KSU
2011-01,KWK
2011-01,LAMR
2011-01,LANC
2011-01,LECO
2011-01,LII
2011-01,LKQX
2011-01,LNCR
2011-01,LNT
2011-01,LPNT
2011-01,LPS
2011-01,LPX
2011-01,LRCX
2011-01,LRY
2011-01,LSTR
2011-01,LTM
2011-01,LZ
2011-01,MAC
2011-01,MAN
2011-01,MANT
2011-01,MASI
2011-01,MATW
2011-01,MCRS
2011-01,MCY
2011-01,MD
2011-01,MDC
2011-01,MDRX
2011-01,MDU
2011-01,MENT
2011-01,MHK
2011-01,MLHR
2011-01,MLM
2011-01,MRX
2011-01,MSA
2011-01,MSCI
2011-01,MSM
2011-01,MTD
2011-01,MTX
2011-01,NAL
2011-01,NATI
2011-01,NCI
2011-01,NCR
2011-01,NDN
2011-01,NDSN
2011-01,NEU
2011-01,NFG
2011-01,NHP
2011-01,NSR
2011-01,NST
2011-01,NVE
2011-01,NVR
2011-01,NYB
2011-01,NYT
2011-01,O
2011-01,OCR
2011-01,ODP
2011-01,OFC
2011-01,OGE
2011-01,OHI
2011-01,OII
2011-01,OLN
2011-01,OMI
2011-01,ORI
2011-01,OSG
2011-01,OSK
2011-01,PACW
2011-01,PCH
2011-01,PCX
2011-01,PDE
2011-01,PETM
2011-01,PII
2011-01,PKG
2011-01,PL
2011-01,PLCM
2011-01,PLT
2011-01,PMTC
2011-01,PNM
2011-01,PNR
2011-01,PNRA
2011-01,PPDI
2011-01,PRGO
2011-01,PRSP
2011-01,PSS
2011-01,PTEN
2011-01,PVH
2011-01,PXP
2011-01,QLGC
2011-01,QSFT
2011-01,RAH
2011-01,RAX
2011-01,RBC
2011-01,RCII
2011-01,RDK
2011-01,RE
2011-01,REG
2011-01,RFMD
2011-01,RGA
2011-01,RGS
2011-01,RJF
2011-01,RKT
2011-01,RMD
2011-01,ROL
2011-01,ROVI
2011-01,RPM
2011-01,RS
2011-01,RVBD
2011-01,RYL
2011-01,RYN
2011-01,SCHL
2011-01,SCI
2011-01,SEIC
2011-01,SFD
2011-01,SFG
2011-01,SGMS
2011-01,SHAW
2011-01,SIVB
2011-01,SKS
2011-01,SLAB
2011-01,SLG
2011-01,SLGN
2011-01,SLH
2011-01,SM
2011-01,SMG
2011-01,SMTC
2011-01,SNH
2011-01,SNPS
2011-01,SNV
2011-01,SON
2011-01,SPN
2011-01,SPW
2011-01,SRX
2011-01,STE
2011-01,STLD
2011-01,STR
2011-01,STRA
2011-01,SUG
2011-01,SWKS
2011-01,SXT
2011-01,TBL
2011-01,TCB
2011-01,TCO
2011-01,TDS
2011-01,TDW
2011-01,TECD
2011-01,TECH
2011-01,TEX
2011-01,TFX
2011-01,THG
2011-01,THO
2011-01,THOR
2011-01,TIBX
2011-01,TIN
2011-01,TKR
2011-01,TNB
2011-01,TOL
2011-01,TR
2011-01,TRH
2011-01,TRMB
2011-01,TRMK
2011-01,TRN
2011-01,TSCO
2011-01,TUP
2011-01,TW
2011-01,TWTC
2011-01,UA
2011-01,UDR
2011-01,UGI
2011-01,UHS
2011-01,UNT
2011-01,URI
2011-01,URS
2011-01,UTHR
2011-01,UTR
2011-01,UVV
2011-01,VAL
2011-01,VCLK
2011-01,VLY
2011-01,VMI
2011-01,VRTX
2011-01,VSH
2011-01,VVC
2011-01,WAB
2011-01,WABC
2011-01,WBS
2011-01,WCG
2011-01,WCN
2011-01,WDR
2011-01,WEN
2011-01,WERN
2011-01,WFSL
2011-01,WGL
2011-01,WGOV
2011-01,WMS
2011-01,WOOF
2011-01,WOR
2011-01,WR
2011-01,WRB
2011-01,WRC
2011-01,WRI
2011-01,WSM
2011-01,WSO
2011-01,WTR
2011-01,XEC
2011-01,ZBRA
2011-02,AAI
2011-02,AAN
2011-02,AAP
2011-02,ACI
2011-02,ACIW
2011-02,ACM
2011-02,ACV
2011-02,ACXM
2011-02,ADS
2011-02,ADTN
2011-02,ADVS
2011-02,AEO
2011-02,AF
2011-02,AFG
2011-02,AGCO
2011-02,AGL
2011-02,AINV
2011-02,AJG
2011-02,ALB
2011-02,ALEX
2011-02,ALK
2011-02,AM
2011-02,AMB
2011-02,AME
2011-02,AMG
2011-02,ANN
2011-02,ANSS
2011-02,AOL
2011-02,ARE
2011-02,ARO
2011-02,ARW
2011-02,ASBC
2011-02,ASH
2011-02,ASNA
2011-02,ATK
2011-02,ATML
2011-02,ATO
2011-02,ATR
2011-02,ATW
2011-02,AVT
2011-02,AYI
2011-02,BBG
2011-02,BCO
2011-02,BEAV
2011-02,BEC
2011-02,BEZ
2011-02,BID
2011-02,BIO
2011-02,BJ
2011-02,BKH
2011-02,BKS
2011-02,BLUD
2011-02,BOBE
2011-02,BOH
2011-02,BR
2011-02,BRE
2011-02,BRO
2011-02,BUCY
2011-02,BWA
2011-02,BXS
2011-02,BYD
2011-02,BYI
2011-02,CAKE
2011-02,CATY
2011-02,CBB
2011-02,CBSH
2011-02,CBT
2011-02,CDNS
2011-02,CECO
2011-02,CFR
2011-02,CHD
2011-02,CHS
2011-02,CIEN
2011-02,CLGX
2011-02,CLH
2011-02,CLI
2011-02,CMC
2011-02,CMG
2011-02,CMP
2011-02,CNL
2011-02,CNQR
2011-02,CNW
2011-02,CPO
2011-02,CPRT
2011-02,CPT
2011-02,CR
2011-02,CREE
2011-02,CRK
2011-02,CRL
2011-02,CRS
2011-02,CSL
2011-02,CUZ
2011-02,CVD
2011-02,CVG
2011-02,CXW
2011-02,CYH
2011-02,CYN
2011-02,CYT
2011-02,DBD
2011-02,DCI
2011-02,DECK
2011-02,DKS
2011-02,DLTR
2011-02,DLX
2011-02,DPL
2011-02,DRE
2011-02,DRIV
2011-02,DRQ
2011-02,DST
2011-02,DWA
2011-02,DYN
2011-02,EAT
2011-02,EGN
2011-02,EK
2011-02,ENDP
2011-02,ENR
2011-02,EQIX
2011-02,EQY
2011-02,ESI
2011-02,ESS
2011-02,EV
2011-02,EW
2011-02,EWBC
2011-02,EXBD
2011-02,EXH
